#V,vertexid,longitude,latitude,x*,y*
V,832,-76.9977251534,38.8446488608,,
V,833,-77.0502420137,38.8864929695,,
V,883,-77.0499976853,38.8867449464,,
V,884,-76.9772616983,38.893309238,,
V,889,-76.9772585713,38.8937825828,,
V,890,-77.0021967514,38.9632377397,,
V,899,-76.9995804169,38.962701831,,
V,900,-77.0291308323,38.9839021178,,
V,901,-77.0291283886,38.9832200281,,
V,902,-77.0645482612,38.9310335718,,
V,905,-77.0647104743,38.9306513889,,
V,906,-77.0698057938,38.9724419304,,
V,921,-77.0702525941,38.9720658616,,
V,922,-77.0257320685,38.9253871637,,
V,924,-77.0258054526,38.9258762683,,
V,925,-77.0296989267,38.9529122761,,
V,930,-77.030264993,38.9529148863,,
V,931,-76.9655033812,38.9316465306,,
V,935,-76.9648630543,38.9318855032,,
V,936,-77.0436172319,38.941444152,,
V,963,-77.0430845533,38.9429759392,,
V,964,-76.9762148575,38.9056299907,,
V,968,-76.9762152016,38.9059941849,,
V,969,-77.0736505628,38.9207056451,,
V,981,-77.0739151338,38.9206860195,,
V,982,-77.0559942295,38.9675036767,,
V,1000,-77.0568546628,38.9671659027,,
V,1001,-77.032727979,38.9432826068,,
V,1018,-77.0321333116,38.9439881207,,
V,1019,-77.0167435992,38.8397181189,,
V,1022,-77.0172887536,38.8398311456,,
V,1023,-77.0417147175,38.8959957988,,
V,1030,-77.0434683404,38.8959865733,,
V,1031,-77.0189367424,38.8948102656,,
V,1034,-77.0199034953,38.8944188134,,
V,1035,-77.028188874,38.8904684615,,
V,1043,-77.0281900654,38.8916804339,,
V,1044,-76.9593926157,38.8724302013,,
V,1066,-76.957232506,38.8722704313,,
V,1067,-77.0373131447,38.907542305,,
V,1069,-77.0374368683,38.907561452,,
V,1070,-76.9961915223,38.8784145419,,
V,1074,-76.9961894947,38.8775375745,,
V,1075,-76.9838617643,38.9046237135,,
V,1078,-76.9835196191,38.9044773701,,
V,1079,-76.998833385,38.862840615,,
V,1082,-76.9983577858,38.8626444279,,
V,1083,-77.0332468703,38.9397475004,,
V,1087,-77.0345364849,38.939748494,,
V,1088,-77.0373397966,38.9885046664,,
V,1110,-77.0369939346,38.9888690158,,
V,1111,-77.0198994941,38.96324512,,
V,1114,-77.0198990582,38.9635022331,,
V,1115,-76.921895691,38.8983732237,,
V,1119,-76.921896018,38.8991274944,,
V,1120,-77.0214184142,38.9736166732,,
V,1128,-77.0214187692,38.9747977426,,
V,1129,-77.0775301462,38.9570293226,,
V,1130,-77.0776967172,38.9570295149,,
V,1131,-76.9766178057,38.8984188004,,
V,1134,-76.9764586126,38.8989108801,,
V,1135,-77.0116901865,38.948690912,,
V,1139,-77.0114634399,38.9485065085,,
V,1140,-76.9773066517,38.8972874102,,
V,1150,-76.9777021794,38.8973440702,,
V,1151,-77.0854518744,38.9378697137,,
V,1169,-77.0856359481,38.9382336917,,
V,1170,-76.9642960038,38.9293422059,,
V,1177,-76.9624872656,38.9308436818,,
V,1178,-77.0891795829,38.9439691128,,
V,1181,-77.0900811422,38.9439712394,,
V,1182,-77.0302636899,38.9540912367,,
V,1185,-77.0328645507,38.9540934588,,
V,1186,-77.0004894352,38.9641654657,,
V,1193,-77.0021938927,38.964078463,,
V,1194,-76.9995092797,38.8924041518,,
V,1195,-76.9995103029,38.8926899345,,
V,1196,-77.056458787,38.9469576725,,
V,1211,-77.0567143605,38.9478977432,,
V,1212,-77.0185977431,38.9420771571,,
V,1216,-77.0192025188,38.9420613849,,
V,1217,-77.0951225771,38.9237627906,,
V,1233,-77.0942832883,38.9236861793,,
V,1234,-76.9711535282,38.9365495756,,
V,1235,-76.9716258631,38.9365522248,,
V,1236,-76.9880958332,38.9452557876,,
V,1243,-76.9879794814,38.9447569599,,
V,1244,-77.0228937252,38.9585094756,,
V,1248,-77.0229201684,38.9588986009,,
V,1249,-77.0020404585,38.8951739982,,
V,1252,-77.001579018,38.8951978325,,
V,1253,-77.0454907525,38.9056649905,,
V,1264,-77.0454855672,38.9065744278,,
V,1265,-77.0155110539,38.9159243146,,
V,1282,-77.0157603912,38.9161145372,,
V,1283,-77.0740292944,38.9640062679,,
V,1287,-77.0750509763,38.9640063552,,
V,1288,-77.0918183731,38.9302672786,,
V,1321,-77.0919119281,38.931324128,,
V,1322,-76.9597244779,38.8920061561,,
V,1327,-76.9579593413,38.8920075329,,
V,1328,-76.9948496514,38.957795003,,
V,1335,-76.9962262736,38.9576435715,,
V,1336,-76.9832193776,38.8954698581,,
V,1338,-76.9832216681,38.8957573149,,
V,1339,-76.9749660019,38.8685659401,,
V,1347,-76.9773557124,38.8686286422,,
V,1348,-77.0029569977,38.9405635039,,
V,1350,-77.0029853118,38.9407506364,,
V,1351,-77.0259414923,38.9268615487,,
V,1353,-77.0259791044,38.9270992608,,
V,1354,-77.0406968589,38.9215477707,,
V,1356,-77.0401312423,38.9215671039,,
V,1357,-77.0371541154,38.9450723226,,
V,1359,-77.037153312,38.9456059118,,
V,1360,-76.9778518267,38.8841072836,,
V,1364,-76.9772649849,38.8841096578,,
V,1365,-77.0107412311,38.8309262589,,
V,1419,-77.0101521698,38.8295555834,,
V,1420,-76.9945122018,38.9046004631,,
V,1423,-76.9937601984,38.9042815331,,
V,1424,-76.912298449,38.8924406634,,
V,1442,-76.9136700701,38.8924592087,,
V,1443,-77.0326372067,38.9126160097,,
V,1446,-77.0326748934,38.9131573384,,
V,1447,-77.0523284492,38.8916865849,,
V,1453,-77.0525800237,38.8923974787,,
V,1454,-77.0525747245,38.8925396614,,
V,1455,-77.0700701916,38.9586710613,,
V,1459,-77.0706980152,38.958671297,,
V,1460,-77.0135702711,38.9544973834,,
V,1465,-77.0136212389,38.9555695415,,
V,1466,-77.0296236665,38.9170067327,,
V,1471,-77.0296227459,38.918121514,,
V,1472,-77.0462699386,38.9166033609,,
V,1480,-77.0463473779,38.915996816,,
V,1481,-77.0399248184,38.9328547407,,
V,1485,-77.0399411438,38.9341820751,,
V,1486,-76.9205211936,38.8971508522,,
V,1494,-76.9191510035,38.8971535153,,
V,1495,-76.9467902752,38.864282712,,
V,1504,-76.9462861885,38.866170589,,
V,1505,-77.0271200286,38.9714805378,,
V,1511,-77.0270267754,38.9723616551,,
V,1512,-77.0327269802,38.9461322883,,
V,1514,-77.0327277784,38.9464763927,,
V,1527,-77.0951308601,38.9170187441,,
V,1528,-77.0081185171,38.9610971621,,
V,1553,-76.9800574653,38.9037219304,,
V,1558,-76.9789928969,38.903721924,,
V,1559,-76.9836502888,38.8886777055,,
V,1563,-76.9829241696,38.8886804945,,
V,1564,-76.9871325781,38.8989217148,,
V,1565,-76.9863952478,38.8989268404,,
V,1566,-77.0090605801,38.8792933769,,
V,1567,-77.0090655328,38.8784195888,,
V,1568,-77.0541659054,38.9280960992,,
V,1573,-77.0553412849,38.9283451689,,
V,1574,-76.9689736943,38.8683894008,,
V,1575,-76.9689737212,38.8681849195,,
V,1576,-77.0597378476,38.911296765,,
V,1584,-77.0609115215,38.9113039062,,
V,1585,-76.9575642103,38.861542512,,
V,1590,-76.9575689348,38.8604952063,,
V,1591,-77.0506032141,38.9029176161,,
V,1600,-77.0514187814,38.9029852353,,
V,1601,-77.0131652291,38.9580533298,,
V,1607,-77.0131090405,38.9583638396,,
V,1608,-77.0691657267,38.9368130526,,
V,1615,-77.070885331,38.9368168086,,
V,1616,-76.9623511075,38.8516060856,,
V,1618,-76.9619672259,38.8519333992,,
V,1619,-76.9938430945,38.9426641657,,
V,1621,-76.9940436682,38.9435267315,,
V,1622,-77.0549110239,38.9150669476,,
V,1628,-77.0548080748,38.9151887605,,
V,1629,-77.0777633367,38.9615808437,,
V,1632,-77.0777628033,38.9620833895,,
V,1633,-77.0301320251,38.9873178803,,
V,1634,-77.0300123746,38.9874207279,,
V,1635,-76.9929126439,38.9233719315,,
V,1638,-76.9929098083,38.9228947718,,
V,1639,-77.0245115712,38.9413320993,,
V,1640,-77.0245117727,38.9416831462,,
V,1641,-76.9980699836,38.8957894243,,
V,1642,-76.9980698051,38.8954647756,,
V,1643,-77.059238924,38.9093229471,,
V,1647,-77.0599254489,38.9093145379,,
V,1648,-76.9795988336,38.8634145916,,
V,1669,-76.979533841,38.8640412407,,
V,1678,-76.9822156642,38.8957786195,,
V,1679,-77.0246184126,38.9329492406,,
V,1684,-77.0261822392,38.932805368,,
V,1685,-76.9709866627,38.8743902822,,
V,1688,-76.9715345118,38.8746545546,,
V,1689,-77.0249867302,38.9072461079,,
V,1691,-77.024989749,38.9064612491,,
V,1692,-76.9931994808,38.8820107868,,
V,1693,-76.9932034125,38.8823194651,,
V,1694,-77.0648096855,38.9386095014,,
V,1702,-77.0654280475,38.9386101478,,
V,1703,-76.967201334,38.8551286566,,
V,1715,-76.9666070388,38.8550595438,,
V,1716,-77.0175525634,38.9072424263,,
V,1724,-77.0189397284,38.9072449926,,
V,1725,-77.0827775745,38.9529231704,,
V,1732,-77.0204396697,38.8270833019,,
V,1739,-77.0212223441,38.8267571457,,
V,1740,-76.9875010461,38.9411558802,,
V,1744,-76.987199132,38.9414182591,,
V,1745,-77.0313792877,38.9486304459,,
V,1758,-77.0298382176,38.9485624946,,
V,1759,-77.0240472942,38.9376296904,,
V,1762,-77.0240705471,38.9381755276,,
V,1763,-76.9941011039,38.8325053096,,
V,1765,-76.9941028598,38.8330253964,,
V,1766,-76.9870480357,38.8611860722,,
V,1777,-76.9862455874,38.8605330597,,
V,1778,-76.9730059602,38.8728437929,,
V,1780,-76.972678894,38.8730438746,,
V,1781,-77.0853468013,38.9104974081,,
V,1785,-77.0860161451,38.910011106,,
V,1786,-77.0113725127,38.9627122512,,
V,1793,-77.012566456,38.962708239,,
V,1794,-77.0652168014,38.913704632,,
V,1813,-77.0651141706,38.9132894442,,
V,1814,-76.9984602123,38.8439508984,,
V,1820,-76.9995423244,38.8433655388,,
V,1821,-77.051416816,38.9024118064,,
V,1823,-77.051416755,38.9025309982,,
V,1825,-77.0514166924,38.9026511179,,
V,1826,-76.9984466727,38.8993279587,,
V,1829,-76.998943493,38.8998520662,,
V,1830,-77.025812972,38.9783133074,,
V,1831,-77.0259659892,38.9783127821,,
V,1832,-76.984518998,38.8875115501,,
V,1833,-76.9841912543,38.8873672651,,
V,1834,-77.0587884444,38.9214526482,,
V,1845,-77.0584976159,38.9219745817,,
V,1846,-77.0249489278,38.9494093815,,
V,1848,-77.0249300609,38.9490583791,,
V,1849,-77.0372018587,38.9111345968,,
V,1855,-77.0384887158,38.9111334149,,
V,1856,-76.9816315543,38.8881442503,,
V,1859,-76.9813772558,38.8881440692,,
V,1860,-77.0906159415,38.9447941945,,
V,1863,-77.0911524544,38.9447936631,,
V,1864,-77.0416881554,38.9072544267,,
V,1867,-77.041681216,38.9077375019,,
V,1868,-76.9377532935,38.8967816051,,
V,1875,-76.9361688472,38.8967946455,,
V,1876,-77.0143763048,38.9158940116,,
V,1881,-77.014422392,38.9162872197,,
V,1882,-76.9937092786,38.8559176164,,
V,1917,-76.9932510872,38.8579166723,,
